TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,COURT
ATL,ATL @ CHI,2024-04-01,W,36,90,32,63,0.5079365079365079,18,32,0.5625,8,11,0.7272727272727273,6,29,35,24,10,2,4,14,16,0
WAS,WAS vs. MIA,2024-03-31,L,36,80,29,68,0.4264705882352941,8,30,0.26666666666666666,14,17,0.8235294117647058,6,25,31,19,12,5,1,17,-15,1
UTA,UTA @ SAC,2024-03-31,L,36,77,28,64,0.4375,13,32,0.40625,8,11,0.7272727272727273,6,19,25,17,10,5,4,10,-18,0
TOR,TOR vs. PHI,2024-03-31,L,36,93,35,66,0.5303030303030303,10,26,0.38461538461538464,13,18,0.7222222222222222,6,21,27,23,12,7,2,13,-8,1
SAS,SAS vs. GSW,2024-03-31,L,36,81,30,70,0.42857142857142855,11,31,0.3548387096774194,10,12,0.8333333333333334,14,24,38,23,14,6,4,7,-8,1
SAC,SAC vs. UTA,2024-03-31,W,36,95,35,70,0.5,16,33,0.48484848484848486,9,10,0.9,11,24,35,27,12,7,3,12,18,1
PHI,PHI @ TOR,2024-03-31,W,36,101,36,65,0.5538461538461539,16,31,0.5161290322580645,13,16,0.8125,8,22,30,20,12,6,6,15,8,0
OKC,OKC @ NYK,2024-03-31,W,36,75,29,63,0.4603174603174603,8,26,0.3076923076923077,9,16,0.5625,9,25,34,17,10,3,4,15,-10,0
NYK,NYK vs. OKC,2024-03-31,L,36,85,31,69,0.4492753623188406,10,33,0.30303030303030304,13,17,0.7647058823529411,10,26,36,19,7,5,3,12,10,1
MIN,MIN vs. CHI,2024-03-31,L,36,79,30,59,0.5084745762711864,9,25,0.36,10,13,0.7692307692307693,1,20,21,24,10,11,3,8,-5,1
MIA,MIA @ WAS,2024-03-31,W,36,95,31,61,0.5081967213114754,13,31,0.41935483870967744,20,24,0.8333333333333334,5,29,34,21,11,8,6,16,15,0
LAL,LAL @ BKN,2024-03-31,W,36,90,33,59,0.559322033898305,10,27,0.37037037037037035,14,18,0.7777777777777778,5,33,38,21,16,7,4,11,11,0
LAC,LAC @ CHA,2024-03-31,W,36,93,33,60,0.55,11,25,0.44,16,17,0.9411764705882353,7,25,32,21,7,1,4,10,11,0
HOU,HOU vs. DAL,2024-03-31,L,36,73,27,68,0.39705882352941174,8,28,0.2857142857142857,11,11,1.0,7,23,30,19,8,8,2,10,-18,1
GSW,GSW @ SAS,2024-03-31,W,36,89,35,71,0.49295774647887325,13,28,0.4642857142857143,6,6,1.0,7,23,30,26,11,10,3,9,8,0
DEN,DEN vs. CLE,2024-03-31,W,36,101,39,66,0.5909090909090909,16,24,0.6666666666666666,7,11,0.6363636363636364,10,26,36,28,15,6,3,12,24,1
DAL,DAL @ HOU,2024-03-31,W,36,91,35,69,0.5072463768115942,17,35,0.4857142857142857,4,8,0.5,8,32,40,17,12,5,6,11,18,0
CLE,CLE @ DEN,2024-03-31,L,36,77,31,63,0.49206349206349204,7,18,0.3888888888888889,8,10,0.8,6,13,19,21,13,9,2,10,-24,0
CHI,CHI @ MIN,2024-03-31,W,36,84,33,58,0.5689655172413793,12,22,0.5454545454545454,6,10,0.6,6,27,33,24,15,7,3,10,5,0
CHA,CHA vs. LAC,2024-03-31,L,36,82,31,66,0.4696969696969697,15,37,0.40540540540540543,5,8,0.625,5,20,25,22,5,3,2,15,-11,1
BKN,BKN vs. LAL,2024-03-31,L,36,79,30,69,0.43478260869565216,10,26,0.38461538461538464,9,12,0.75,6,20,26,14,11,10,2,12,-11,1
ORL,ORL vs. MEM,2024-03-30,W,36,90,28,59,0.4745762711864407,17,35,0.4857142857142857,17,18,0.9444444444444444,4,30,34,22,12,6,7,13,35,1
NOP,NOP vs. BOS,2024-03-30,L,36,68,26,69,0.37681159420289856,11,30,0.36666666666666664,5,9,0.5555555555555556,9,23,32,18,7,7,2,9,-15,1
MIL,MIL @ ATL,2024-03-30,W,36,89,32,61,0.5245901639344263,5,20,0.25,20,24,0.8333333333333334,4,31,35,21,9,6,4,12,15,0
MEM,MEM @ ORL,2024-03-30,L,36,55,18,58,0.3103448275862069,6,24,0.25,13,15,0.8666666666666667,6,24,30,14,17,8,5,15,-35,0
BOS,BOS @ NOP,2024-03-30,W,36,83,32,64,0.5,12,30,0.4,7,8,0.875,7,32,39,23,9,6,6,6,15,0
ATL,ATL vs. MIL,2024-03-30,L,36,74,29,71,0.4084507042253521,9,26,0.34615384615384615,7,8,0.875,7,25,32,14,9,4,3,17,-15,1
WAS,WAS vs. DET,2024-03-29,L,36,75,30,67,0.44776119402985076,9,23,0.391304347826087,6,8,0.75,7,27,34,18,14,1,3,15,-5,1
UTA,UTA vs. HOU,2024-03-29,L,36,72,25,63,0.3968253968253968,6,26,0.23076923076923078,16,16,1.0,9,35,44,15,15,4,7,13,3,1
SAS,SAS vs. NYK,2024-03-29,W,36,94,34,64,0.53125,12,31,0.3870967741935484,14,16,0.875,7,23,30,27,7,1,2,8,3,1
SAC,SAC vs. DAL,2024-03-29,L,36,82,33,71,0.4647887323943662,11,23,0.4782608695652174,5,9,0.5555555555555556,7,30,37,20,9,9,1,17,9,1
POR,POR @ MIA,2024-03-29,L,36,63,27,66,0.4090909090909091,4,22,0.18181818181818182,5,7,0.7142857142857143,7,25,32,15,16,3,2,13,-44,0
PHX,PHX @ OKC,2024-03-29,L,36,80,31,69,0.4492753623188406,10,32,0.3125,8,10,0.8,12,18,30,21,10,4,5,12,-21,0
PHI,PHI @ CLE,2024-03-29,L,36,87,30,73,0.410958904109589,14,33,0.42424242424242425,13,15,0.8666666666666667,14,19,33,21,8,5,3,15,2,0
