TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,COURT
MIA,MIA vs. WAS,2024-03-10,L,12,26,9,29,31.0,3,14,21.4,5,6,83.3,7,7,14,3,1,3,0,5,-3,1
MEM,MEM @ OKC,2024-03-10,L,12,25,9,19,47.4,1,5,20.0,6,10,60.0,2,10,12,6,2,2,0,1,3,0
LAL,LAL vs. MIN,2024-03-10,W,12,29,10,22,45.5,1,7,14.3,8,9,88.9,5,14,19,4,3,2,1,4,12,1
LAC,LAC vs. MIL,2024-03-10,L,12,32,13,25,52.0,4,13,30.8,2,2,100.0,3,8,11,9,2,0,2,8,-1,1
IND,IND @ ORL,2024-03-10,W,12,25,7,17,41.2,4,7,57.1,7,8,87.5,1,12,13,5,5,1,4,4,-1,0
HOU,HOU @ SAC,2024-03-10,W,12,26,8,21,38.1,3,7,42.9,7,8,87.5,3,7,10,6,3,1,1,6,-5,0
CLE,CLE vs. BKN,2024-03-10,L,12,21,9,21,42.9,2,7,28.6,1,4,25.0,2,7,9,5,1,1,1,2,-3,1
BKN,BKN @ CLE,2024-03-10,W,12,24,8,16,50.0,5,12,41.7,3,3,100.0,0,10,10,6,6,0,2,5,3,0
ATL,ATL vs. NOP,2024-03-10,L,12,38,15,22,68.2,7,11,63.6,1,3,33.3,3,6,9,10,3,1,1,6,2,1
UTA,UTA @ DEN,2024-03-09,L,12,33,11,20,55.0,1,4,25.0,10,13,76.9,3,5,8,5,3,1,0,5,-7,0
TOR,TOR @ POR,2024-03-09,L,12,32,12,23,52.2,4,12,33.3,4,4,100.0,4,8,12,7,4,1,2,4,11,0
SAS,SAS @ GSW,2024-03-09,W,12,30,10,22,45.5,1,7,14.3,9,10,90.0,7,6,13,8,4,2,0,4,-4,0
POR,POR vs. TOR,2024-03-09,W,12,21,9,21,42.9,3,8,37.5,0,0,0.0,3,4,7,7,4,3,1,4,-11,1
PHX,PHX vs. BOS,2024-03-09,L,12,29,12,20,60.0,3,9,33.3,2,3,66.7,2,6,8,6,3,1,0,4,-1,1
LAC,LAC vs. CHI,2024-03-09,W,12,29,9,19,47.4,4,10,40.0,7,8,87.5,4,11,15,6,4,3,1,7,12,1
GSW,GSW vs. SAS,2024-03-09,L,12,34,14,22,63.6,1,7,14.3,5,5,100.0,1,5,6,8,3,2,1,7,4,1
DET,DET vs. DAL,2024-03-09,L,12,36,15,29,51.7,3,6,50.0,3,3,100.0,5,8,13,11,5,3,2,8,-2,1
DEN,DEN vs. UTA,2024-03-09,W,12,40,15,19,78.9,4,6,66.7,6,8,75.0,0,7,7,11,2,1,3,9,7,1
DAL,DAL @ DET,2024-03-09,W,12,38,12,21,57.1,2,7,28.6,12,14,85.7,0,9,9,8,5,4,3,6,2,0
CHI,CHI @ LAC,2024-03-09,L,12,17,5,18,27.8,1,9,11.1,6,10,60.0,3,6,9,5,3,1,1,6,-12,0
CHA,CHA vs. BKN,2024-03-09,W,12,20,8,19,42.1,1,8,12.5,3,6,50.0,3,10,13,3,4,4,0,5,3,1
BOS,BOS @ PHX,2024-03-09,W,12,30,11,19,57.9,4,7,57.1,4,6,66.7,2,4,6,8,3,1,0,2,1,0
BKN,BKN @ CHA,2024-03-09,L,12,17,6,21,28.6,3,11,27.3,2,2,100.0,4,9,13,4,6,0,0,6,-3,0
WAS,WAS vs. CHA,2024-03-08,W,12,44,16,20,80.0,2,4,50.0,10,10,100.0,3,14,17,10,1,1,2,7,20,1
POR,POR vs. HOU,2024-03-08,L,12,20,7,23,30.4,2,6,33.3,4,6,66.7,7,7,14,4,4,0,2,5,-11,1
PHI,PHI vs. NOP,2024-03-08,L,12,34,13,21,61.9,4,8,50.0,4,4,100.0,2,8,10,9,1,2,1,5,15,1
ORL,ORL @ NYK,2024-03-08,L,12,20,7,19,36.8,2,10,20.0,4,5,80.0,2,7,9,2,3,3,3,3,2,0
OKC,OKC vs. MIA,2024-03-08,W,12,30,12,22,54.5,3,9,33.3,3,4,75.0,5,9,14,6,2,0,3,5,3,1
NYK,NYK vs. ORL,2024-03-08,W,12,18,7,19,36.8,3,10,30.0,1,2,50.0,3,8,11,4,5,1,1,3,-2,1
NOP,NOP @ PHI,2024-03-08,W,12,19,7,19,36.8,1,7,14.3,4,4,100.0,3,6,9,5,3,1,1,4,-15,0
MIN,MIN @ CLE,2024-03-08,L,12,17,7,21,33.3,1,9,11.1,2,2,100.0,3,8,11,6,4,0,2,4,-1,0
MIL,MIL @ LAL,2024-03-08,L,12,32,11,21,52.4,4,10,40.0,6,7,85.7,1,11,12,9,1,0,1,4,5,0
MIA,MIA @ OKC,2024-03-08,L,12,27,11,21,52.4,2,6,33.3,3,5,60.0,2,5,7,6,0,1,0,5,-3,0
MEM,MEM vs. ATL,2024-03-08,L,12,20,6,16,37.5,2,5,40.0,6,10,60.0,3,8,11,2,4,1,3,5,1,1
LAL,LAL vs. MIL,2024-03-08,W,12,27,9,23,39.1,5,13,38.5,4,5,80.0,1,7,8,5,0,0,2,6,-5,1
HOU,HOU @ POR,2024-03-08,W,12,31,11,30,36.7,3,14,21.4,6,6,100.0,9,9,18,6,0,3,4,4,11,0
CLE,CLE vs. MIN,2024-03-08,W,12,18,7,19,36.8,1,8,12.5,3,6,50.0,5,5,10,4,3,1,2,4,1,1
CHA,CHA @ WAS,2024-03-08,L,12,24,9,24,37.5,1,9,11.1,5,6,83.3,2,1,3,3,1,0,1,8,-20,0
ATL,ATL @ MEM,2024-03-08,W,12,19,6,20,30.0,4,8,50.0,3,6,50.0,2,8,10,4,4,4,1,5,-1,0
TOR,TOR @ PHX,2024-03-07,L,12,31,13,22,59.1,3,9,33.3,2,2,100.0,3,5,8,8,3,0,0,6,0,0
SAS,SAS @ SAC,2024-03-07,L,12,34,11,24,45.8,4,8,50.0,8,8,100.0,5,7,12,9,3,2,2,6,3,0
SAC,SAC vs. SAS,2024-03-07,W,12,31,13,26,50.0,1,5,20.0,4,5,80.0,3,6,9,4,3,1,1,5,-3,1
PHX,PHX vs. TOR,2024-03-07,W,12,31,12,20,60.0,2,5,40.0,5,6,83.3,2,6,8,8,2,3,1,3,0,1
MIN,MIN @ IND,2024-03-07,W,12,30,11,22,50.0,2,3,66.7,6,9,66.7,4,8,12,5,3,2,1,3,2,0
MIA,MIA @ DAL,2024-03-07,L,12,25,9,21,42.9,3,8,37.5,4,4,100.0,0,8,8,5,2,2,1,6,2,0
IND,IND vs. MIN,2024-03-07,L,12,28,11,22,50.0,2,6,33.3,4,5,80.0,3,6,9,4,2,2,4,7,-2,1
GSW,GSW vs. CHI,2024-03-07,L,12,33,14,28,50.0,2,9,22.2,3,4,75.0,5,7,12,9,2,3,0,10,7,1
DET,DET vs. BKN,2024-03-07,W,12,33,10,17,58.8,3,8,37.5,10,11,90.9,0,10,10,4,6,2,1,8,2,1
DEN,DEN vs. BOS,2024-03-07,W,12,25,10,21,47.6,0,5,0.0,5,6,83.3,2,11,13,5,4,1,2,7,-4,1
DAL,DAL vs. MIA,2024-03-07,W,12,23,8,19,42.1,4,10,40.0,3,4,75.0,3,8,11,5,4,0,2,4,-2,1
CHI,CHI @ GSW,2024-03-07,W,12,26,7,15,46.7,2,5,40.0,10,14,71.4,2,6,8,5,6,0,3,6,-7,0
BOS,BOS @ DEN,2024-03-07,L,12,29,9,25,36.0,3,12,25.0,8,11,72.7,2,9,11,6,1,3,0,5,4,0
BKN,BKN @ DET,2024-03-07,L,12,31,9,21,42.9,3,10,30.0,10,13,76.9,2,7,9,6,3,3,0,7,-2,0
WAS,WAS vs. ORL,2024-03-06,L,12,26,10,25,40.0,1,8,12.5,5,7,71.4,3,4,7,6,1,0,0,5,-9,1
UTA,UTA vs. CHI,2024-03-06,L,12,34,13,22,59.1,5,10,50.0,3,3,100.0,1,5,6,9,5,2,4,5,8,1
SAC,SAC @ LAL,2024-03-06,W,12,26,13,26,50.0,0,3,0.0,0,0,0.0,5,6,11,5,4,5,0,1,-2,0
POR,POR vs. OKC,2024-03-06,L,12,33,11,24,45.8,5,11,45.5,6,6,100.0,2,3,5,6,3,5,0,9,2,1
PHI,PHI vs. MEM,2024-03-06,L,12,16,7,28,25.0,1,7,14.3,1,2,50.0,5,7,12,4,3,3,3,8,-18,1
ORL,ORL @ WAS,2024-03-06,W,12,35,13,20,65.0,4,9,44.4,5,5,100.0,2,7,9,7,3,0,4,6,9,0
OKC,OKC @ POR,2024-03-06,W,12,31,9,14,64.3,2,6,33.3,11,13,84.6,2,10,12,7,9,3,2,4,-2,0
MIL,MIL @ GSW,2024-03-06,L,12,9,4,24,16.7,1,13,7.7,0,0,0.0,0,6,6,1,4,3,0,2,-23,0
MEM,MEM @ PHI,2024-03-06,W,12,34,10,24,41.7,3,6,50.0,11,11,100.0,5,14,19,5,3,2,6,4,18,0
LAL,LAL vs. SAC,2024-03-06,L,12,28,12,18,66.7,4,9,44.4,0,0,0.0,0,7,7,6,6,1,1,2,2,1
LAC,LAC @ HOU,2024-03-06,W,12,42,13,18,72.2,4,6,66.7,12,15,80.0,3,6,9,6,0,2,2,6,12,0
HOU,HOU vs. LAC,2024-03-06,L,12,30,13,23,56.5,3,5,60.0,1,4,25.0,4,3,7,10,2,0,1,10,-12,1
GSW,GSW vs. MIL,2024-03-06,W,12,32,13,19,68.4,6,10,60.0,0,1,0.0,1,15,16,9,5,3,5,1,23,1
CLE,CLE @ ATL,2024-03-06,L,12,12,6,22,27.3,0,11,0.0,0,1,0.0,4,5,9,3,4,3,1,1,-13,0
CHI,CHI @ UTA,2024-03-06,W,12,26,10,21,47.6,0,1,0.0,6,7,85.7,2,6,8,3,5,3,2,2,-8,0
ATL,ATL vs. CLE,2024-03-06,W,12,25,10,19,52.6,3,8,37.5,2,2,100.0,3,12,15,7,5,3,1,0,13,1
TOR,TOR vs. NOP,2024-03-05,L,12,22,7,25,28.0,1,12,8.3,7,8,87.5,5,11,16,5,1,0,2,3,-11,1
SAS,SAS @ HOU,2024-03-05,L,12,24,8,19,42.1,2,10,20.0,6,6,100.0,1,5,6,4,6,0,3,2,-10,0
PHX,PHX @ DEN,2024-03-05,W,12,12,5,24,20.8,2,9,22.2,0,0,0.0,6,7,13,3,3,2,1,3,-9,0
PHI,PHI @ BKN,2024-03-05,L,12,24,10,22,45.5,1,3,33.3,3,3,100.0,3,5,8,6,3,1,0,10,-8,0
ORL,ORL @ CHA,2024-03-05,W,12,26,11,21,52.4,3,10,30.0,1,1,100.0,0,8,8,7,1,1,0,3,3,0
NYK,NYK vs. ATL,2024-03-05,L,12,22,8,27,29.6,5,18,27.8,1,2,50.0,8,2,10,6,3,1,0,7,-11,1
NOP,NOP @ TOR,2024-03-05,W,12,33,13,33,39.4,6,15,40.0,1,1,100.0,8,12,20,9,1,1,2,7,11,0
MIA,MIA vs. DET,2024-03-05,W,12,25,8,19,42.1,2,11,18.2,7,8,87.5,1,11,12,3,2,1,4,3,3,1
IND,IND @ DAL,2024-03-05,W,12,31,12,23,52.2,7,13,53.8,0,0,0.0,2,9,11,7,3,1,0,5,-1,0
HOU,HOU vs. SAS,2024-03-05,W,12,34,16,25,64.0,2,3,66.7,0,0,0.0,4,9,13,6,4,6,0,6,10,1
DET,DET @ MIA,2024-03-05,L,12,22,8,24,33.3,3,12,25.0,3,3,100.0,1,10,11,4,3,1,0,6,-3,0
DEN,DEN vs. PHX,2024-03-05,L,12,21,8,24,33.3,3,13,23.1,2,2,100.0,4,12,16,5,4,2,2,1,9,1
DAL,DAL vs. IND,2024-03-05,L,12,32,13,23,56.5,3,9,33.3,3,4,75.0,1,6,7,9,1,1,3,1,1,1
CLE,CLE vs. BOS,2024-03-05,W,12,34,11,15,73.3,8,11,72.7,4,8,50.0,1,10,11,8,3,2,1,1,17,1
CHA,CHA vs. ORL,2024-03-05,L,12,23,9,18,50.0,2,7,28.6,3,3,100.0,0,9,9,6,3,0,0,4,-3,1
BOS,BOS @ CLE,2024-03-05,L,12,17,8,26,30.8,0,8,0.0,1,1,100.0,4,4,8,4,2,1,0,5,-17,0
BKN,BKN vs. PHI,2024-03-05,W,12,32,10,17,58.8,2,3,66.7,10,14,71.4,2,9,11,5,4,1,2,4,8,1
ATL,ATL @ NYK,2024-03-05,W,12,33,13,18,72.2,1,4,25.0,6,9,66.7,3,11,14,9,4,1,1,4,11,0
WAS,WAS @ UTA,2024-03-04,L,12,14,4,20,20.0,0,7,0.0,6,8,75.0,1,7,8,0,4,0,0,6,-11,0
UTA,UTA vs. WAS,2024-03-04,W,12,25,10,24,41.7,4,12,33.3,1,1,100.0,2,14,16,5,3,0,3,6,11,1
SAC,SAC vs. CHI,2024-03-04,L,12,18,6,20,30.0,0,6,0.0,6,8,75.0,6,4,10,6,6,1,1,7,-18,1
POR,POR @ MIN,2024-03-04,L,12,32,11,24,45.8,5,13,38.5,5,5,100.0,4,7,11,8,5,1,0,6,1,0
OKC,OKC @ LAL,2024-03-04,L,12,32,12,22,54.5,4,11,36.4,4,5,80.0,3,7,10,9,3,2,1,3,5,0
MIN,MIN vs. POR,2024-03-04,W,12,31,11,21,52.4,4,6,66.7,5,8,62.5,3,7,10,8,3,4,2,5,-1,1
MIL,MIL vs. LAC,2024-03-04,W,12,40,13,21,61.9,6,10,60.0,8,9,88.9,3,12,15,8,2,3,1,8,15,1
MEM,MEM @ BKN,2024-03-04,W,12,26,8,19,42.1,1,8,12.5,9,10,90.0,7,7,14,4,7,2,1,7,1,0
LAL,LAL vs. OKC,2024-03-04,W,12,27,9,20,45.0,7,13,53.8,2,4,50.0,3,7,10,7,5,2,0,4,-5,1
LAC,LAC @ MIL,2024-03-04,L,12,25,7,20,35.0,5,14,35.7,6,11,54.5,1,4,5,5,4,1,1,5,-15,0
CHI,CHI @ SAC,2024-03-04,W,12,36,13,19,68.4,2,3,66.7,8,9,88.9,2,6,8,8,1,3,1,6,18,0
BKN,BKN vs. MEM,2024-03-04,L,12,25,7,19,36.8,3,12,25.0,8,11,72.7,4,4,8,5,4,4,1,8,-1,1
TOR,TOR vs. CHA,2024-03-03,W,12,29,9,23,39.1,4,10,40.0,7,8,87.5,2,9,11,7,2,1,1,4,-2,1
SAS,SAS vs. IND,2024-03-03,W,12,31,11,15,73.3,2,4,50.0,7,9,77.8,1,7,8,8,5,0,1,4,3,1
PHX,PHX vs. OKC,2024-03-03,L,12,25,10,21,47.6,4,10,40.0,1,2,50.0,4,6,10,7,6,0,1,5,-4,1
PHI,PHI @ DAL,2024-03-03,W,12,30,8,18,44.4,2,7,28.6,12,13,92.3,3,4,7,7,4,1,1,6,-10,0
ORL,ORL vs. DET,2024-03-03,W,12,24,10,20,50.0,2,8,25.0,2,5,40.0,3,10,13,7,6,5,0,4,4,1
OKC,OKC @ PHX,2024-03-03,W,12,29,12,21,57.1,1,4,25.0,4,6,66.7,1,7,8,3,0,6,2,1,4,0
NYK,NYK @ CLE,2024-03-03,W,12,20,7,22,31.8,5,14,35.7,1,1,100.0,5,7,12,6,3,1,2,3,0,0
MIN,MIN vs. LAC,2024-03-03,L,12,20,8,22,36.4,2,10,20.0,2,2,100.0,6,11,17,7,6,0,2,6,-2,1
LAC,LAC @ MIN,2024-03-03,W,12,22,8,20,40.0,2,8,25.0,4,5,80.0,1,8,9,4,1,2,0,1,2,0
IND,IND @ SAS,2024-03-03,L,12,28,11,21,52.4,2,7,28.6,4,6,66.7,3,3,6,6,1,2,1,7,-3,0
GSW,GSW @ BOS,2024-03-03,L,12,26,11,25,44.0,3,13,23.1,1,2,50.0,4,11,15,7,5,0,2,1,1,0
DET,DET @ ORL,2024-03-03,L,12,20,7,18,38.9,1,9,11.1,5,6,83.3,0,9,9,7,5,4,0,5,-4,0
DAL,DAL vs. PHI,2024-03-03,L,12,40,14,24,58.3,6,12,50.0,6,6,100.0,4,8,12,5,2,2,0,7,10,1
CLE,CLE vs. NYK,2024-03-03,L,12,20,7,17,41.2,5,8,62.5,1,2,50.0,1,8,9,3,2,0,3,2,0,1
CHA,CHA @ TOR,2024-03-03,L,12,31,11,22,50.0,4,9,44.4,5,5,100.0,2,11,13,8,5,1,4,7,2,0
BOS,BOS vs. GSW,2024-03-03,W,12,25,10,25,40.0,5,13,38.5,0,0,0.0,3,10,13,8,5,4,1,5,-1,1
UTA,UTA @ MIA,2024-03-02,L,12,30,11,20,55.0,4,8,50.0,4,4,100.0,2,8,10,6,5,0,0,7,-6,0
POR,POR @ MEM,2024-03-02,W,12,34,11,21,52.4,4,9,44.4,8,11,72.7,5,8,13,7,3,1,1,7,17,0
PHX,PHX vs. HOU,2024-03-02,L,12,30,11,19,57.9,3,7,42.9,5,8,62.5,3,9,12,6,7,3,2,6,1,1
MIA,MIA vs. UTA,2024-03-02,W,12,36,13,22,59.1,1,6,16.7,9,12,75.0,2,6,8,7,0,2,2,4,6,1
MEM,MEM vs. POR,2024-03-02,L,12,17,4,16,25.0,2,7,28.6,7,9,77.8,3,3,6,3,7,0,0,6,-17,1
LAL,LAL vs. DEN,2024-03-02,L,12,25,11,21,52.4,3,8,37.5,0,1,0.0,4,3,7,7,3,1,1,2,-10,1
HOU,HOU @ PHX,2024-03-02,W,12,29,10,24,41.7,2,10,20.0,7,11,63.6,6,5,11,5,4,5,1,5,-1,0
DEN,DEN @ LAL,2024-03-02,W,12,35,15,22,68.2,4,7,57.1,1,1,100.0,2,7,9,10,1,1,2,1,10,0
BKN,BKN vs. ATL,2024-03-02,W,12,24,9,20,45.0,2,5,40.0,4,4,100.0,2,6,8,6,4,4,0,7,2,1
ATL,ATL @ BKN,2024-03-02,L,12,22,7,18,38.9,0,6,0.0,8,10,80.0,3,7,10,2,5,1,2,4,-2,0
WAS,WAS @ LAC,2024-03-01,L,12,30,12,23,52.2,2,6,33.3,4,6,66.7,2,7,9,6,3,1,1,5,0,0
TOR,TOR vs. GSW,2024-03-01,L,12,22,9,23,39.1,3,12,25.0,1,4,25.0,3,6,9,9,3,2,1,5,-5,1
SAC,SAC @ MIN,2024-03-01,W,12,24,10,26,38.5,2,9,22.2,2,2,100.0,4,4,8,4,2,3,1,6,-9,0
POR,POR @ MEM,2024-03-01,W,12,31,10,21,47.6,4,7,57.1,7,7,100.0,5,7,12,8,5,2,2,4,11,0
PHI,PHI vs. CHA,2024-03-01,W,12,33,12,25,48.0,5,12,41.7,4,4,100.0,4,8,12,9,0,0,3,6,3,1
NOP,NOP vs. IND,2024-03-01,W,12,21,7,18,38.9,2,9,22.2,5,7,71.4,5,6,11,3,9,2,0,5,-9,1
MIN,MIN vs. SAC,2024-03-01,L,12,33,11,19,57.9,5,10,50.0,6,9,66.7,3,10,13,8,4,1,2,5,9,1
MIL,MIL @ CHI,2024-03-01,W,12,31,9,19,47.4,3,11,27.3,10,13,76.9,3,9,12,7,2,1,0,5,6,0
MEM,MEM vs. POR,2024-03-01,L,12,20,7,20,35.0,1,7,14.3,5,8,62.5,2,5,7,2,6,2,1,6,-11,1
LAC,LAC vs. WAS,2024-03-01,W,12,30,12,21,57.1,2,6,33.3,4,9,44.4,3,8,11,7,3,1,1,4,0,1
IND,IND @ NOP,2024-03-01,L,12,30,12,25,48.0,3,7,42.9,3,4,75.0,7,5,12,7,5,4,3,5,9,0
GSW,GSW @ TOR,2024-03-01,W,12,27,10,20,50.0,3,7,42.9,4,7,57.1,3,11,14,5,4,3,1,4,5,0
DET,DET vs. CLE,2024-03-01,L,12,30,7,20,35.0,3,10,30.0,13,14,92.9,1,10,11,6,2,4,2,6,11,1
DAL,DAL @ BOS,2024-03-01,L,12,20,9,20,45.0,0,3,0.0,2,3,66.7,1,5,6,4,2,2,1,2,-16,0
CLE,CLE @ DET,2024-03-01,W,12,19,6,19,31.6,2,9,22.2,5,6,83.3,3,9,12,4,6,2,1,8,-11,0
CHI,CHI vs. MIL,2024-03-01,L,12,25,9,20,45.0,3,6,50.0,4,5,80.0,1,8,9,7,3,2,0,7,-6,1
CHA,CHA @ PHI,2024-03-01,L,12,30,10,19,52.6,4,7,57.1,6,7,85.7,0,5,5,3,0,0,2,6,-3,0
BOS,BOS vs. DAL,2024-03-01,W,12,36,14,23,60.9,5,9,55.6,3,3,100.0,4,10,14,9,2,0,4,3,16,1
WAS,WAS @ LAL,2024-02-29,L,12,31,13,21,61.9,4,8,50.0,1,1,100.0,1,7,8,9,2,0,2,1,4,0
UTA,UTA @ ORL,2024-02-29,L,12,25,8,18,44.4,3,9,33.3,6,7,85.7,1,5,6,6,4,2,0,7,-10,0
SAS,SAS vs. OKC,2024-02-29,W,12,34,12,20,60.0,5,10,50.0,5,6,83.3,1,10,11,8,2,0,2,1,12,1
PHX,PHX vs. HOU,2024-02-29,W,12,24,5,23,21.7,2,7,28.6,12,17,70.6,6,8,14,1,1,1,4,9,-6,1
ORL,ORL vs. UTA,2024-02-29,W,12,35,10,16,62.5,3,5,60.0,12,14,85.7,2,9,11,5,3,3,1,5,10,1
OKC,OKC @ SAS,2024-02-29,L,12,22,10,22,45.5,1,9,11.1,1,1,100.0,1,7,8,4,3,1,0,5,-12,0
NYK,NYK vs. GSW,2024-02-29,L,12,29,10,23,43.5,3,10,30.0,6,6,100.0,3,12,15,7,2,2,0,6,-1,1
MIL,MIL @ CHA,2024-02-29,W,12,19,8,22,36.4,3,8,37.5,0,0,0.0,2,9,11,4,3,3,1,5,-6,0
MIA,MIA @ DEN,2024-02-29,L,12,27,13,24,54.2,0,4,0.0,1,3,33.3,4,9,13,5,3,2,1,6,7,0
LAL,LAL vs. WAS,2024-02-29,W,12,27,13,24,54.2,1,4,25.0,0,0,0.0,2,5,7,8,1,2,2,4,-4,1
HOU,HOU @ PHX,2024-02-29,L,12,30,9,28,32.1,3,11,27.3,9,10,90.0,9,13,22,3,1,0,2,11,6,0
GSW,GSW @ NYK,2024-02-29,W,12,30,11,24,45.8,3,12,25.0,5,9,55.6,5,9,14,7,3,2,1,4,1,0
DEN,DEN vs. MIA,2024-02-29,W,12,20,6,17,35.3,2,9,22.2,6,6,100.0,2,5,7,3,6,1,3,6,-7,1
CHA,CHA vs. MIL,2024-02-29,L,12,25,8,20,40.0,4,9,44.4,5,7,71.4,3,11,14,4,3,0,1,2,6,1
BKN,BKN vs. ATL,2024-02-29,W,12,30,10,20,50.0,5,11,45.5,5,6,83.3,2,7,9,7,4,2,2,8,8,1
ATL,ATL @ BKN,2024-02-29,L,12,22,7,16,43.8,2,7,28.6,6,8,75.0,0,6,6,5,6,0,2,5,-8,0
TOR,TOR vs. DAL,2024-02-28,L,12,33,13,21,61.9,3,6,50.0,4,9,44.4,2,9,11,10,3,4,0,5,3,1
SAC,SAC @ DEN,2024-02-28,L,12,24,10,23,43.5,2,7,28.6,2,4,50.0,4,10,14,6,4,4,2,3,7,0
NOP,NOP @ IND,2024-02-28,L,12,28,10,20,50.0,3,5,60.0,5,6,83.3,0,6,6,6,1,1,0,3,1,0
MIN,MIN vs. MEM,2024-02-28,W,12,22,9,24,37.5,1,10,10.0,3,4,75.0,4,11,15,6,2,2,3,8,6,1
MEM,MEM @ MIN,2024-02-28,L,12,16,5,19,26.3,0,9,0.0,6,7,85.7,0,10,10,4,4,1,1,5,-6,0
LAL,LAL @ LAC,2024-02-28,W,12,39,13,23,56.5,9,14,64.3,4,4,100.0,4,6,10,9,2,2,0,2,23,0
LAC,LAC vs. LAL,2024-02-28,L,12,16,7,17,41.2,1,7,14.3,1,2,50.0,3,5,8,4,7,2,0,4,-23,1
IND,IND vs. NOP,2024-02-28,W,12,27,12,21,57.1,1,6,16.7,2,2,100.0,2,8,10,5,3,1,2,6,-1,1
DEN,DEN vs. SAC,2024-02-28,W,12,17,7,20,35.0,3,10,30.0,0,0,0.0,2,8,10,3,6,2,3,4,-7,1
DAL,DAL @ TOR,2024-02-28,W,12,30,13,25,52.0,2,11,18.2,2,3,66.7,4,9,13,7,4,1,1,6,-3,0
CLE,CLE @ CHI,2024-02-28,L,12,22,8,17,47.1,5,10,50.0,1,1,100.0,0,6,6,7,5,1,3,3,-3,0
CHI,CHI vs. CLE,2024-02-28,W,12,25,9,23,39.1,4,10,40.0,3,4,75.0,4,8,12,6,4,3,2,2,3,1
WAS,WAS vs. GSW,2024-02-27,L,12,37,16,27,59.3,3,11,27.3,2,2,100.0,3,9,12,9,3,3,0,2,12,1
UTA,UTA @ ATL,2024-02-27,L,12,28,9,23,39.1,3,8,37.5,7,9,77.8,3,6,9,7,2,3,2,4,-7,0
SAS,SAS @ MIN,2024-02-27,L,12,38,14,25,56.0,7,17,41.2,3,4,75.0,4,8,12,11,2,3,2,5,9,0
POR,POR vs. MIA,2024-02-27,L,12,20,8,19,42.1,0,6,0.0,4,4,100.0,3,4,7,5,5,2,1,9,-6,1
PHI,PHI @ BOS,2024-02-27,L,12,24,9,19,47.4,3,8,37.5,3,3,100.0,0,4,4,5,3,1,2,6,-7,0
ORL,ORL vs. BKN,2024-02-27,W,12,20,5,16,31.3,2,7,28.6,8,11,72.7,1,6,7,3,7,4,0,6,-2,1
OKC,OKC vs. HOU,2024-02-27,W,12,28,12,25,48.0,1,2,50.0,3,5,60.0,5,10,15,4,1,2,0,4,7,1
NYK,NYK vs. NOP,2024-02-27,L,12,25,7,20,35.0,5,15,33.3,6,11,54.5,3,1,4,7,2,1,1,7,-16,1
NOP,NOP @ NYK,2024-02-27,W,12,41,12,14,85.7,7,7,100.0,10,11,90.9,0,9,9,9,4,0,0,8,16,0
MIN,MIN vs. SAS,2024-02-27,W,12,29,10,19,52.6,3,7,42.9,6,8,75.0,2,8,10,7,4,2,1,5,-9,1
MIL,MIL vs. CHA,2024-02-27,W,12,27,10,18,55.6,4,9,44.4,3,5,60.0,1,7,8,7,5,2,0,6,-9,1
MIA,MIA @ POR,2024-02-27,W,12,26,8,14,57.1,4,5,80.0,6,8,75.0,0,8,8,7,5,2,0,4,6,0
HOU,HOU @ OKC,2024-02-27,L,12,21,7,19,36.8,2,10,20.0,5,5,100.0,1,8,9,4,4,0,3,3,-7,0
GSW,GSW @ WAS,2024-02-27,W,12,25,11,25,44.0,3,12,25.0,0,0,0.0,4,7,11,9,5,1,1,3,-12,0
DET,DET @ CHI,2024-02-27,W,12,26,7,21,33.3,5,15,33.3,7,9,77.8,6,11,17,4,5,0,1,5,8,0
DAL,DAL @ CLE,2024-02-27,L,12,37,16,24,66.7,5,11,45.5,0,1,0.0,2,4,6,9,2,2,2,3,-1,0
CLE,CLE vs. DAL,2024-02-27,W,12,38,14,20,70.0,7,9,77.8,3,4,75.0,1,7,8,11,5,0,0,4,1,1
CHI,CHI vs. DET,2024-02-27,L,12,18,6,23,26.1,1,7,14.3,5,6,83.3,2,7,9,3,0,2,1,6,-8,1
CHA,CHA @ MIL,2024-02-27,L,12,36,12,21,57.1,7,13,53.8,5,6,83.3,0,7,7,9,3,3,1,3,9,0
BOS,BOS vs. PHI,2024-02-27,W,12,31,11,23,47.8,1,7,14.3,8,8,100.0,5,10,15,5,2,3,0,5,7,1
BKN,BKN @ ORL,2024-02-27,L,12,22,7,18,38.9,1,7,14.3,7,7,100.0,3,8,11,5,6,3,0,8,2,0
ATL,ATL vs. UTA,2024-02-27,W,12,35,12,20,60.0,5,9,55.6,6,6,100.0,2,10,12,7,4,2,2,6,7,1
TOR,TOR @ IND,2024-02-26,W,12,40,15,20,75.0,6,8,75.0,4,6,66.7,0,7,7,10,3,2,3,5,5,0
SAC,SAC vs. MIA,2024-02-26,L,12,29,12,22,54.5,5,12,41.7,0,0,0.0,2,5,7,7,3,5,2,6,9,1
NYK,NYK vs. DET,2024-02-26,W,12,21,7,18,38.9,2,8,25.0,5,8,62.5,4,7,11,4,4,3,1,3,-6,1
