TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,COURT
LAL,LAL vs. PHI,2024-03-22,W,12,26,9,16,56.3,1,6,16.7,7,8,87.5,1,12,13,5,7,0,3,5,8,1
LAC,LAC @ POR,2024-03-22,W,12,24,8,19,42.1,2,7,28.6,6,7,85.7,3,8,11,2,6,2,1,5,-13,0
IND,IND @ GSW,2024-03-22,W,12,21,7,19,36.8,1,6,16.7,6,7,85.7,2,9,11,5,4,2,1,6,-2,0
GSW,GSW vs. IND,2024-03-22,L,12,23,9,24,37.5,1,10,10.0,4,6,66.7,7,10,17,4,5,2,1,6,2,1
DET,DET vs. BOS,2024-03-22,L,12,19,8,17,47.1,0,4,0.0,3,4,75.0,1,10,11,5,6,1,0,4,-6,1
CLE,CLE @ MIN,2024-03-22,L,12,25,10,20,50.0,1,7,14.3,4,4,100.0,2,4,6,7,1,3,1,3,-7,0
BOS,BOS @ DET,2024-03-22,W,12,25,11,21,52.4,2,9,22.2,1,2,50.0,1,6,7,9,1,2,1,4,6,0
WAS,WAS vs. SAC,2024-03-21,W,12,25,10,24,41.7,2,9,22.2,3,4,75.0,4,6,10,4,3,4,0,5,-1,1
UTA,UTA @ DAL,2024-03-21,L,12,24,7,19,36.8,2,9,22.2,8,10,80.0,1,5,6,6,2,3,3,6,-6,0
SAC,SAC @ WAS,2024-03-21,L,12,26,9,17,52.9,6,12,50.0,2,2,100.0,2,7,9,5,6,2,4,4,1,0
PHX,PHX vs. ATL,2024-03-21,W,12,32,10,19,52.6,8,13,61.5,4,6,66.7,3,8,11,8,3,0,3,6,10,1
ORL,ORL vs. NOP,2024-03-21,W,12,26,10,18,55.6,2,7,28.6,4,4,100.0,2,5,7,6,6,1,1,4,-5,1
NYK,NYK @ DEN,2024-03-21,L,12,24,8,17,47.1,4,9,44.4,4,6,66.7,1,11,12,6,4,3,1,8,-1,0
NOP,NOP @ ORL,2024-03-21,L,12,31,14,21,66.7,1,5,20.0,2,3,66.7,0,5,5,6,2,4,0,3,5,0
MIL,MIL vs. BKN,2024-03-21,W,12,34,11,25,44.0,4,11,36.4,8,8,100.0,5,3,8,6,1,2,1,9,-5,1
HOU,HOU vs. CHI,2024-03-21,W,12,22,8,23,34.8,2,10,20.0,4,5,80.0,6,8,14,3,6,3,0,6,-1,1
DEN,DEN vs. NYK,2024-03-21,W,12,25,9,21,42.9,1,5,20.0,6,8,75.0,2,9,11,5,3,2,1,4,1,1
DAL,DAL vs. UTA,2024-03-21,W,12,30,12,23,52.2,2,4,50.0,4,5,80.0,6,8,14,10,4,2,2,7,6,1
CHI,CHI @ HOU,2024-03-21,L,12,23,9,23,39.1,2,9,22.2,3,4,75.0,5,9,14,5,4,2,2,5,1,0
BKN,BKN @ MIL,2024-03-21,L,12,39,13,25,52.0,4,9,44.4,9,11,81.8,7,6,13,9,3,1,0,4,5,0
ATL,ATL @ PHX,2024-03-21,L,12,22,5,18,27.8,1,8,12.5,11,13,84.6,2,6,8,3,3,1,1,4,-10,0
UTA,UTA @ OKC,2024-03-20,L,12,27,10,24,41.7,1,9,11.1,6,6,100.0,3,6,9,3,1,1,2,7,-10,0
TOR,TOR vs. SAC,2024-03-20,L,12,24,8,19,42.1,4,7,57.1,4,6,66.7,5,5,10,4,6,4,0,1,0,1
SAC,SAC @ TOR,2024-03-20,W,12,24,10,23,43.5,2,9,22.2,2,2,100.0,6,6,12,7,5,5,1,5,0,0
POR,POR vs. LAC,2024-03-20,L,12,33,13,22,59.1,5,10,50.0,2,4,50.0,2,9,11,7,3,2,2,3,11,1
PHX,PHX vs. PHI,2024-03-20,W,12,25,10,20,50.0,5,10,50.0,0,0,0.0,1,7,8,10,5,2,5,6,-11,1
PHI,PHI @ PHX,2024-03-20,L,12,36,14,29,48.3,6,11,54.5,2,5,40.0,8,8,16,10,3,3,1,0,11,0
OKC,OKC vs. UTA,2024-03-20,W,12,37,13,22,59.1,3,7,42.9,8,9,88.9,3,9,12,11,2,1,3,4,10,1
MIL,MIL @ BOS,2024-03-20,L,12,36,14,25,56.0,5,11,45.5,3,4,75.0,3,10,13,5,1,1,2,8,15,0
MIA,MIA @ CLE,2024-03-20,W,12,24,8,16,50.0,3,6,50.0,5,5,100.0,2,5,7,2,4,1,1,6,-5,0
MEM,MEM @ GSW,2024-03-20,L,12,26,10,24,41.7,3,10,30.0,3,4,75.0,5,10,15,5,1,0,0,5,-3,0
LAC,LAC @ POR,2024-03-20,W,12,22,7,20,35.0,3,9,33.3,5,6,83.3,2,7,9,5,4,3,3,4,-11,0
IND,IND @ DET,2024-03-20,W,12,24,11,22,50.0,1,6,16.7,1,2,50.0,2,8,10,9,5,4,2,6,-1,0
GSW,GSW vs. MEM,2024-03-20,W,12,29,12,24,50.0,4,10,40.0,1,3,33.3,4,9,13,10,1,0,1,5,3,1
DET,DET vs. IND,2024-03-20,L,12,25,7,20,35.0,1,7,14.3,10,11,90.9,4,9,13,6,5,3,0,2,1,1
CLE,CLE vs. MIA,2024-03-20,L,12,29,8,17,47.1,4,11,36.4,9,9,100.0,1,5,6,6,2,0,0,5,5,1
BOS,BOS vs. MIL,2024-03-20,W,12,21,5,18,27.8,3,9,33.3,8,10,80.0,4,6,10,3,3,0,2,5,-15,1
