index,TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,COURT,Opponent,OppPTS,OppFGM,OppFGA,OppFG%,Opp3PM,Opp3PA,Opp3P%,OppFTM,OppFTA,OppFT%,OppOREB,OppDREB,OppREB,OppAST,OppTOV,OppSTL,OppBLK,OppPF,Pos,OppPos,Pace,OFFRTG,DEFRTG,Margin,formatted_date,week_of_season,PTS/Q
66,GSW,GSW @ POR,2024-04-11,W,36,75,28,60,0.4666666666666667,9,29,0.3103448275862069,10,13,0.7692307692307693,7,32,39,19,14,5,9,13,1,0,POR,74,28,75,0.3733333333333333,7,24,0.2916666666666667,11,13,0.8461538461538461,12,24,36,18,7,8,2,12,72.47646627565982,72.47646627565982,96.63528836754642,103.48186639611,102.10210817749518,8,2024-04-11,25,25.0
67,DET,DET vs. CHI,2024-04-11,L,36,80,29,59,0.4915254237288136,12,29,0.4137931034482758,10,14,0.7142857142857143,6,23,29,20,16,3,2,10,-19,1,CHI,99,40,72,0.5555555555555556,10,24,0.4166666666666667,9,12,0.75,7,21,28,25,6,11,4,10,74.13866666666667,74.13866666666667,98.85155555555555,107.90590604992447,133.53355873678152,-22,2024-04-11,25,26.666666666666668
68,CHI,CHI @ DET,2024-04-11,W,36,99,40,72,0.5555555555555556,10,24,0.4166666666666667,9,12,0.75,7,21,28,25,6,11,4,10,19,0,DET,80,29,59,0.4915254237288136,12,29,0.4137931034482758,10,14,0.7142857142857143,6,23,29,20,16,3,2,10,74.13866666666667,74.13866666666667,98.85155555555555,133.53355873678152,107.90590604992447,22,2024-04-11,25,33.0
70,TOR,TOR @ BKN,2024-04-10,L,36,80,28,72,0.3888888888888889,12,31,0.3870967741935484,12,13,0.9230769230769232,12,24,36,17,8,6,4,14,3,0,BKN,77,28,67,0.417910447761194,9,30,0.3,12,15,0.8,11,30,41,21,11,2,9,12,71.31671428571428,71.31671428571428,95.08895238095238,112.17566709467026,107.96907957862012,-4,2024-04-10,25,26.666666666666668
72,PHX,PHX @ LAC,2024-04-10,W,36,92,34,74,0.4594594594594595,15,42,0.3571428571428571,9,10,0.9,9,28,37,22,9,6,3,11,-1,0,LAC,93,37,69,0.5362318840579711,11,22,0.5,8,10,0.8,4,28,32,18,9,5,2,9,77.15459459459458,77.15459459459458,102.87279279279278,119.24111646676383,120.53721555879386,16,2024-04-10,25,30.666666666666668
73,ORL,ORL @ MIL,2024-04-10,L,36,77,28,59,0.4745762711864407,7,20,0.35,14,19,0.7368421052631579,4,20,24,14,12,2,1,10,-19,0,MIL,96,37,67,0.5522388059701493,11,30,0.3666666666666666,11,14,0.7857142857142857,7,23,30,22,9,7,3,16,73.48185185185184,73.48185185185184,97.97580246913579,104.78777828740785,130.6445027998851,-18,2024-04-10,25,25.666666666666668
75,MIN,MIN @ DEN,2024-04-10,L,36,80,31,59,0.5254237288135594,9,19,0.4736842105263157,9,15,0.6,5,22,27,17,8,7,5,12,-3,0,DEN,83,34,66,0.5151515151515151,11,24,0.4583333333333333,4,8,0.5,8,23,31,22,11,6,5,14,69.35966666666667,69.35966666666667,92.47955555555555,115.34080805847779,119.6660883606707,-9,2024-04-10,25,26.666666666666668
76,MIL,MIL vs. ORL,2024-04-10,W,36,96,37,67,0.5522388059701493,11,30,0.3666666666666666,11,14,0.7857142857142857,7,23,30,22,9,7,3,16,19,1,ORL,77,28,59,0.4745762711864407,7,20,0.35,14,19,0.7368421052631579,4,20,24,14,12,2,1,10,73.48185185185184,73.48185185185184,97.97580246913579,130.6445027998851,104.78777828740785,18,2024-04-10,25,32.0
77,MIA,MIA vs. DAL,2024-04-10,L,36,74,26,60,0.4333333333333333,9,22,0.4090909090909091,13,13,1.0,7,27,34,17,12,3,1,12,-14,1,DAL,88,33,69,0.4782608695652174,15,39,0.3846153846153846,7,8,0.875,6,24,30,19,4,5,6,10,69.09076246334311,69.09076246334311,92.12101661779081,107.10549046156719,127.36869135970153,-19,2024-04-10,25,24.666666666666668
78,MEM,MEM @ CLE,2024-04-10,L,36,67,22,66,0.3333333333333333,11,25,0.44,12,13,0.9230769230769232,9,26,35,17,10,8,8,15,-11,0,CLE,78,25,62,0.4032258064516129,11,31,0.3548387096774194,17,20,0.85,11,31,42,16,12,6,8,10,70.4185,70.4185,93.89133333333332,95.14545183439012,110.76634691167804,-12,2024-04-10,25,22.333333333333332
